Date,store_id,daily_sales,promotion_active,store_size,city_population,is_weekend,is_holiday,month,year,time_idx
2021-01-01,1,1637.0,0,small,50000.0,1,0,1,2021,0
2021-01-02,1,1491.0,0,small,50000.0,1,0,1,2021,1
2021-01-03,1,1649.0,0,small,50000.0,1,0,1,2021,2
2021-01-04,1,1257.0,0,small,50000.0,0,0,1,2021,3
2021-01-05,1,1011.0,0,small,50000.0,0,0,1,2021,4
2021-01-06,1,1087.0,0,small,50000.0,0,0,1,2021,5
2021-01-07,1,1011.0,0,small,50000.0,0,0,1,2021,6
2021-01-08,1,1523.0,0,small,50000.0,1,0,1,2021,7
2021-01-09,1,1618.0,0,small,50000.0,1,0,1,2021,8
2021-01-10,1,1390.0,0,small,50000.0,1,0,1,2021,9
2021-01-11,1,1022.0,0,small,50000.0,0,0,1,2021,10
2021-01-12,1,1056.0,0,small,50000.0,0,0,1,2021,11
2021-01-13,1,1116.0,0,small,50000.0,0,0,1,2021,12
2021-01-14,1,1070.0,0,small,50000.0,0,0,1,2021,13
2021-01-15,1,1471.0,0,small,50000.0,1,0,1,2021,14
2021-01-16,1,1445.0,0,small,50000.0,1,0,1,2021,15
2021-01-17,1,1469.0,0,small,50000.0,1,0,1,2021,16
2021-01-18,1,1036.0,0,small,50000.0,0,0,1,2021,17
2021-01-19,1,1096.0,0,small,50000.0,0,0,1,2021,18
2021-01-20,1,1218.0,0,small,50000.0,0,0,1,2021,19
2021-01-21,1,1088.0,0,small,50000.0,0,0,1,2021,20
2021-01-22,1,1481.0,0,small,50000.0,1,0,1,2021,21
2021-01-23,1,1462.0,0,small,50000.0,1,0,1,2021,22
2021-01-24,1,1477.0,0,small,50000.0,1,0,1,2021,23
2021-01-25,1,1119.0,0,small,50000.0,0,0,1,2021,24
2021-01-26,1,1119.0,0,small,50000.0,0,0,1,2021,25
2021-01-27,1,1185.0,0,small,50000.0,0,0,1,2021,26
2021-01-28,1,1158.0,0,small,50000.0,0,0,1,2021,27
2021-01-29,1,1521.0,0,small,50000.0,1,0,1,2021,28
2021-01-30,1,1576.0,0,small,50000.0,1,0,1,2021,29
2021-01-31,1,1536.0,0,small,50000.0,1,0,1,2021,30
2021-02-01,1,986.0,0,small,50000.0,0,0,2,2021,31
2021-02-02,1,1081.0,0,small,50000.0,0,0,2,2021,32
2021-02-03,1,1074.0,0,small,50000.0,0,0,2,2021,33
2021-02-04,1,1076.0,0,small,50000.0,0,0,2,2021,34
2021-02-05,1,1550.0,0,small,50000.0,1,0,2,2021,35
2021-02-06,1,1625.0,0,small,50000.0,1,0,2,2021,36
2021-02-07,1,1447.0,0,small,50000.0,1,0,2,2021,37
2021-02-08,1,1070.0,0,small,50000.0,0,0,2,2021,38
2021-02-09,1,1159.0,0,small,50000.0,0,0,2,2021,39
2021-02-10,1,1130.0,0,small,50000.0,0,0,2,2021,40
2021-02-11,1,1013.0,0,small,50000.0,0,0,2,2021,41
2021-02-12,1,1514.0,0,small,50000.0,1,0,2,2021,42
2021-02-13,1,1613.0,0,small,50000.0,1,0,2,2021,43
2021-02-14,1,1525.0,0,small,50000.0,1,0,2,2021,44
2021-02-15,1,1179.0,0,small,50000.0,0,0,2,2021,45
2021-02-16,1,1133.0,0,small,50000.0,0,0,2,2021,46
2021-02-17,1,1251.0,0,small,50000.0,0,0,2,2021,47
2021-02-18,1,1057.0,0,small,50000.0,0,0,2,2021,48
2021-02-19,1,1429.0,0,small,50000.0,1,0,2,2021,49
2021-02-20,1,1466.0,0,small,50000.0,1,0,2,2021,50
2021-02-21,1,1595.0,0,small,50000.0,1,0,2,2021,51
2021-02-22,1,1034.0,0,small,50000.0,0,0,2,2021,52
2021-02-23,1,1169.0,0,small,50000.0,0,0,2,2021,53
2021-02-24,1,1159.0,0,small,50000.0,0,0,2,2021,54
2021-02-25,1,1071.0,0,small,50000.0,0,0,2,2021,55
2021-02-26,1,1645.0,0,small,50000.0,1,0,2,2021,56
2021-02-27,1,1584.0,0,small,50000.0,1,0,2,2021,57
2021-02-28,1,1676.0,0,small,50000.0,1,0,2,2021,58
2021-03-01,1,1012.0,0,small,50000.0,0,0,3,2021,59
2021-03-02,1,1179.0,0,small,50000.0,0,0,3,2021,60
2021-03-03,1,1021.0,0,small,50000.0,0,0,3,2021,61
2021-03-04,1,1131.0,0,small,50000.0,0,0,3,2021,62
2021-03-05,1,1517.0,0,small,50000.0,1,0,3,2021,63
2021-03-06,1,1680.0,0,small,50000.0,1,0,3,2021,64
2021-03-07,1,1559.0,0,small,50000.0,1,0,3,2021,65
2021-03-08,1,1088.0,0,small,50000.0,0,0,3,2021,66
2021-03-09,1,1092.0,0,small,50000.0,0,0,3,2021,67
2021-03-10,1,1152.0,0,small,50000.0,0,0,3,2021,68
2021-03-11,1,1143.0,0,small,50000.0,0,0,3,2021,69
2021-03-12,1,1604.0,0,small,50000.0,1,0,3,2021,70
2021-03-13,1,1733.0,0,small,50000.0,1,0,3,2021,71
2021-03-14,1,1602.0,0,small,50000.0,1,1,3,2021,72
